Full Name,Lead Owner,Lead Owner Email,Prospect Owner: Owner ID,First Name,Last Name,How?,Courses,Branch,Billing State,Stream,Prospect Contact,Prospect Contact Detail,Prospect Source,Age,Whatsapp Number,Where?,Email,Mobile Phone,Prospect Record Type,Domicile | Country,Work Experience,City,Nationality,YRN Country,State/Region,Date for meeting,Best time to call,Preferred Contact Type,Medium of Education,Date of Birth,Designation |Title,Percentage,Specialization,Percentage in Xth standard?,Product,Intake Deadline,Budget (INR/USD),Purpose of Training,Countries interested in,How many years of Education do you have?,Who are the Members,Enroll for coaching,Level of Study Interested In,What is your highest education?
test gg,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,gg,Visit,,,Telangana,,Live Chat,Chatbot,Website,31,91786678678,USA,rytuyhg@gmail.com,7411055200,VISA,India,,noida,India,India,,10-01-2023,1:00 PM - 2:00 PM,,,17-04-1991,,,,,,,,,,,,,,Bachelors
test dd,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,dd,Invest,,,Telangana,,Live Chat,Chatbot,Website,31,91867867867,UK,dkrtfgu@gmail.com,7889456120,Enterpreneur,India,3,kerala,India,India,,10-01-2023,12:00 Noon - 1:00 PM,,,05-03-1991,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Visit,,,Telangana,,Website,Website,Website,27,91364653454,Canada,uerytuy@gmail.com,9874500002,VISA,India,,bangalore,India,India,,09-01-2023,3:00 PM - 4:00 PM,Call,,06-04-1995,,,,,,,,,,,,,,
test ll,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,ll,Invest,,,Telangana,,Website,Website,Website,26,91364653455,Italy,dytuy@gmail.com,46657112530,Enterpreneur,India,4,bangalore,India,India,,09-01-2023,1:00 PM - 2:00 PM,Call,,10-04-1996,,,,,,,,,,,,,,Masters
test bb,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,bb,Invest,,,Telangana,,Live Chat,Chatbot,Website,30,91364653456,Ireland,gylihoi@gmail.com,456212505,Enterpreneur,India,3,jaipur,India,India,,11-01-2023,3:00 PM - 4:00 PM,,,07-04-1992,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Website,Website,Website,27,91364634457,Malaysia,fgyjhk@gmail.com,32455878558,Study Overseas Lead,India,,hosur,India,India,,10-01-2023,2:00 PM - 3:00 PM,Call,,10-08-1995,,73,,,,,Above 40 lakhs,,,,,,Masters,Bachelors
test invest,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,invest,Invest,,,Telangana,,Website,Website,Website,27,91363453458,Malta,rutyiu@gmail.com,7488580120,Enterpreneur,India,3,chandrapur,India,India,,10-01-2023,2:00 PM - 3:00 PM,Call,,10-05-1995,,,,,,,,,,,,,,Masters
test aa,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,aa,Visit,,,Telangana,,Live Chat,Chatbot,Website,30,91363453459,Europe,dygkjl@gmail.com,4566212312,Study Overseas Lead,India,,pune,India,India,,12-01-2023,11:00 AM - 12:00 Noon,,,11-03-1992,,,,,,,,,,,,,,Bachelors
test zz,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,zz,Invest,,,Telangana,,Live Chat,Chatbot,Website,29,91364633460,Malta,yuruyh@gmail.com,7401234454,Enterpreneur,India,4,jaipur,India,India,,12-01-2023,1:00 PM - 2:00 PM,,,07-04-1993,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Website,Website,Website,28,91364653461,Canada,sjdfh@gmail.com,6545478899,Study Overseas Lead,India,,hosur,India,India,,11-01-2023,2:00 PM - 3:00 PM,Call,,02-03-1994,,67,,,,,Between 30-40 Lakhs,,,,,,Masters,Masters
test invest,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,invest,Invest,,,Telangana,,Website,Website,Website,28,91363453462,NovaScotia,dksurfh@gmail.com,8458855500,Enterpreneur,India,3,ahmedabad,India,India,,11-01-2023,2:00 PM - 3:00 PM,Call,,13-04-1994,,,,,,,,,,,,,,Masters
test gg,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,gg,Study UG,,,Telangana,"STEM: Science, Physics, Chemistry, Mathematics",Live Chat,Chatbot,Website,23,9196676464,Europe,gjrhtjhu@gmail.com,8787451000,SO UG,India,,nagpur,India,India,,11-01-2023,2:00 PM - 3:00 PM,,,06-03-1999,,80,,,,,Between 20-30 Lakhs,,,,,,Bachelors,Bachelors
test ll,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,ll,Visit,,,Telangana,,Live Chat,Chatbot,Website,30,9196676465,Europe,eriuyiu@gmail.com,7441003358,VISA,India,,lahore,India,India,,13-01-2023,11:00 AM - 12:00 Noon,,,13-05-1992,,,,,,,,,,,,,,Bachelors
test tt,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,tt,Invest,,,Telangana,,Live Chat,Chatbot,Website,29,9196676466,Ireland,derytu@gmail.com,58524745256,Enterpreneur,India,4,jaipur,India,India,,13-01-2023,2:00 PM - 3:00 PM,,,22-06-1993,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Visit,,,Telangana,,Website,Website,Website,27,9196676467,Singapore,eiurti@gmail.com,74415585280,VISA,India,,bangalore,India,India,,12-01-2023,2:00 PM - 3:00 PM,Call,,12-04-1995,,,,,,,,,,,,,,
test invest,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,invest,Invest,,,Telangana,,Website,Website,Website,27,9196676468,NovaScotia,drtuiuo@gmail.com,74258259630,Enterpreneur,India,4,guntur,India,India,,12-01-2023,2:00 PM - 3:00 PM,Call,,02-02-1995,,,,,,,,,,,,,,Masters
test hjgghf,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,hjgghf,Invest,,,Telangana,,Website,Website,Website,26,9196676469,United Kingdom,hgfkk@gmail.com,8546545542,Enterpreneur,India,6,chennai,India,India,,,,,English,18-07-1996,,,,,,,,,,,,,,Masters
test jhgjhg,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,jhgjhg,Invest,,,Telangana,,Website,Website,Website,27,91455661222,United Kingdom,hjgjhfj@gmail.com,854165545,Enterpreneur,India,4,Hyderabad,India,India,,29-06-2022,5:00 PM - 6:00 PM,Call,,17-01-1996,,,,,,,,,,,,,,Masters
test jhgjhggjh,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,jhgjhggjh,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Website,Website,Website,28,91455661223,United Kingdom,hgffgfujh@gmail.com,8564168541,Study Overseas Lead,India,Less than 8 years,Hyderabad,India,India,,,,,,12-01-1995,,77,Agricultural Sciences,72,,,,,,13 Years of Formal Education,,,Masters,Masters
test jhfgghfg,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,jhfgghfg,coaching,,,Telangana,,Website,Website,Website,27,91455661224,Canada,ghfdfg@gmail.com,8564165151,Coaching,India,5,Hyderabad,Argentina,India,,26-01-2023,3:00 PM - 4:00 PM,Call,,12-05-1995,,,,,,,,Work,,,,,,Diploma
test ll,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,ll,Visit,,,Telangana,,Live Chat,Chatbot,Website,30,91854165545,Dubai,retrui@gmail.com,87451022476,VISA,India,,mumbai,India,India,,14-01-2023,11:00 AM - 12:00 Noon,,,11-03-1992,,,,,,,,,,,,,,Bachelors
test bb,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,bb,Invest,,,Telangana,,Live Chat,Chatbot,Website,30,91854165546,Malta,rituium@gmail.com,87455963652,Enterpreneur,India,3,hosur,India,India,,14-01-2023,11:00 AM - 12:00 Noon,,,04-03-1992,,,,,,,,,,,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Visit,,,Telangana,,Website,Website,Website,27,91854165547,Malaysia,tyuiuu@gmail.com,23547485548,VISA,India,,guntur,India,India,,13-01-2023,2:00 PM - 3:00 PM,Mail,,12-04-1995,,,,,,,,,,,,,,
test invest,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,invest,Invest,,,Telangana,,Website,Website,Website,27,91854165548,Australia,uiyertyu@gmail.com,74569858120,Enterpreneur,India,4,nagpur,India,India,,13-01-2023,4:00 PM - 5:00 PM,Call,,12-04-1995,,,,,,,,,,,,,,Masters
test djkhf,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,djkhf,Migrate,,,Telangana,,Live Chat,Chatbot,Website,29,91455661229,Germany,jfghh@gmail.com,8546545984,Immigration Lead,India,5,chennai,India,India,,18-01-2023,3:00 PM - 4:00 PM,,,16-06-1993,Technical Support Specialist,,,,,,,,,,,,,Masters
test ee,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,ee,coaching,,,Telangana,,Live Chat,Chatbot,Website,30,91455661230,United Kingdom,djrtguyiu@gmail.com,45569845220,Coaching,India,,nepal,India,India,,18-01-2023,1:00 PM - 2:00 PM,,,18-03-1992,,,,,,,,Work,,,,,,Bachelors
test migrate,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,migrate,Migrate,,,Telangana,,Website,Website,Website,27,87455963652,United Kingdom,djyhgtrfu@gmail.com,87455852520,Immigration Lead,India,3,bangalore,India,India,,17-01-2023,1:00 PM - 2:00 PM,Call,,18-01-1995,Test Engineer,,,,,,,,,,,,,Masters
test kk,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,kk,Visit,,,Telangana,,Live Chat,Chatbot,Website,30,91455661232,USA,ftyiuio@gmail.com,7885515003,VISA,India,,mangalore,India,India,,18-01-2023,2:00 PM - 3:00 PM,,,18-03-1992,,,,,,,,,,,,,,Bachelors
test work,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,work,Work,,,Telangana,,Website,Website,Website,27,91455661233,Ireland,dfgujh@gmail.com,78845859651,Work,India,3,bangalore,India,India,,17-01-2023,2:00 PM - 3:00 PM,Call,,10-05-1995,Department Manager,,,,,,,,,,,,,Masters
test ss,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,ss,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Live Chat,Chatbot,Website,30,91455661234,Poland,drjtyjh@gmail.com,97874452003,Study Overseas Lead,India,Less than 8 years,noida,India,India,,18-01-2023,3:00 PM - 4:00 PM,,,05-03-1992,,62,,,,,Above 40 lakhs,,,16 Years of Formal Education,,,,Masters
test visit,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,visit,Visit,,,Telangana,,Website,Website,Website,27,91455661235,Singapore,shgery@gmail.com,8745252454,VISA,India,,bangalore,India,India,,17-01-2023,3:00 PM - 4:00 PM,Call,,14-06-1995,,,,,,,,,,,,,,
test mm,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,mm,Work,,,Telangana,,Live Chat,Chatbot,Website,28,91455661236,Belgium,dfjytghui@gmail.com,85220004113,Work,India,3,kerala,India,India,,18-01-2023,3:00 PM - 4:00 PM,,,19-05-1994,Bartender,,,,,,,,,,,,,Masters
test invest,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,invest,Invest,,,Telangana,,Website,Website,Website,9,91455661237,Italy,hjgyiu@gmail.com,89784515456,Enterpreneur,India,3,bangalore,India,India,,17-01-2023,2:00 PM - 3:00 PM,Call,,17-01-2013,,,,,,,,,,,,,,Masters
test aa,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,aa,Migrate,,,Telangana,,Live Chat,Chatbot,Website,30,91455661238,Austria,jhgdfgb@gmail.com,7458596252,Immigration Lead,India,3,lahore,India,India,,18-01-2023,2:00 PM - 3:00 PM,,,04-03-1992,National Sales Manager,,,,,,,,,,,,,Masters
test coaching,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,coaching,coaching,,,Telangana,,Website,Website,Website,26,91455661239,Australia,eriuutiuh@gmail.com,6585525447,Coaching,India,3,guntur,India,India,,17-01-2023,2:00 PM - 3:00 PM,Call,,19-06-1996,,,,,,,,Work,,,,,,Masters
test study,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,study,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Website,Website,Website,25,91455661222,Germany,yujsger@gmail.com,8842410011,Study Overseas Lead,India,Less than 8 years,hyderabad,India,India,,17-01-2023,3:00 PM - 4:00 PM,Call,English,19-03-1997,,63,Computer Science & Information Technology,66,,,Above 40 lakhs,,,16 Years of Formal Education,,Yes,Masters,Bachelors
Random Name,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,study,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Website,Website,Website,25,91455661222,Germany,mysite@.org.org,8842410011,Study Overseas Lead,India,Less than 8 years,hyderabad,India,India,,17-01-2023,3:00 PM - 4:00 PM,Call,English,19-03-1997,,63,Computer Science & Information Technology,66,,,Above 40 lakhs,,,16 Years of Formal Education,,Yes,Masters,Bachelors
Anjesh Singh,Salesforce Admin,sfadmin@y-axis.com,0053000000431FH,test,study,Study,,,Telangana,"STEM: Science, technology, Engineering, Mathematics - 4 years",Website,Website,Website,25,91455661222,Germany,my@.org.org,8842410011,Study Overseas Lead,India,Less than 8 years,hyderabad,India,India,,17-01-2023,3:00 PM - 4:00 PM,Call,English,19-03-1997,,63,Computer Science & Information Technology,66,,,Above 40 lakhs,,,16 Years of Formal Education,,Yes,Masters,Bachelors
